,PS1Current1,PS2Current2,PS1Voltage,PS2Voltage,SystemBoardPwrConsumption,Fan.Embedded.1,Fan.Embedded.2,Fan.Embedded.3,Fan.Embedded.4,Fan.Embedded.5,Fan.Embedded.6,CPU1Temp,CPU2Temp,SystemBoardInletTemp,SystemBoardExhaustTemp,CPU3Temp,CPU4Temp,timestamp,server,model_name,proc_core_speed,proc_l2_cache,proc_l3_cache
54,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12840.0,12960.0,12600.0,12720.0,30.0,29.0,20.0,26.0,27.0,29.0,2020-05-06 16:41:29,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
55,0.6,0.8,230.0,230.0,234.0,12720.0,12720.0,12840.0,12840.0,12600.0,12720.0,29.0,28.0,20.0,26.0,27.0,29.0,2020-05-06 16:42:02,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
56,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12840.0,12840.0,12600.0,12720.0,30.0,29.0,20.0,26.0,28.0,29.0,2020-05-06 16:42:35,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
57,0.6,0.6,230.0,230.0,234.0,12720.0,12840.0,12960.0,12840.0,12600.0,12720.0,30.0,29.0,20.0,26.0,27.0,29.0,2020-05-06 16:43:07,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
58,0.6,0.6,230.0,230.0,234.0,12720.0,12600.0,12840.0,12840.0,12600.0,12720.0,29.0,28.0,20.0,26.0,27.0,29.0,2020-05-06 16:43:40,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
59,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12960.0,12840.0,12600.0,12720.0,30.0,29.0,20.0,26.0,28.0,29.0,2020-05-06 16:44:13,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
60,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12960.0,12840.0,12600.0,12720.0,30.0,29.0,20.0,26.0,28.0,29.0,2020-05-06 16:44:44,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
61,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12960.0,12840.0,12600.0,12600.0,29.0,29.0,20.0,26.0,27.0,29.0,2020-05-06 16:45:16,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
62,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12960.0,12720.0,12600.0,12720.0,30.0,29.0,20.0,26.0,28.0,30.0,2020-05-06 16:45:48,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
63,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12960.0,12840.0,12600.0,12720.0,30.0,29.0,20.0,26.0,28.0,29.0,2020-05-06 16:46:19,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
64,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12960.0,12840.0,12720.0,12720.0,30.0,29.0,20.0,26.0,28.0,29.0,2020-05-06 16:46:51,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
65,0.6,0.6,230.0,230.0,234.0,12720.0,12600.0,12960.0,12840.0,12600.0,12720.0,30.0,29.0,20.0,26.0,28.0,30.0,2020-05-06 16:47:22,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
66,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12960.0,12840.0,12600.0,12600.0,30.0,29.0,20.0,26.0,28.0,30.0,2020-05-06 16:47:54,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
67,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12960.0,12840.0,12600.0,12600.0,33.0,30.0,20.0,26.0,28.0,29.0,2020-05-06 16:48:25,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
68,0.6,0.6,230.0,230.0,234.0,12840.0,12840.0,12960.0,12840.0,12600.0,12720.0,31.0,30.0,20.0,26.0,29.0,30.0,2020-05-06 16:48:57,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
69,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12960.0,12840.0,12600.0,12720.0,30.0,30.0,20.0,26.0,28.0,30.0,2020-05-06 16:49:29,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
70,0.6,0.6,230.0,230.0,260.0,12720.0,12720.0,12960.0,12840.0,12600.0,12720.0,30.0,30.0,20.0,26.0,28.0,29.0,2020-05-06 16:50:00,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
